pathway	SRR32507895	SRR32507896	SRR32507898	SRR32507899	SRR32507900	SRR32507901	SRR32507902	SRR32507903	SRR32507904	SRR32507905	SRR32507906	SRR32507907	SRR32507909	SRR32507910	SRR32507911	SRR32507912	SRR32507913	SRR32507914	SRR32507915	SRR32507916	SRR32507917	SRR32507918	SRR32507920	SRR32507921	SRR32507922	SRR32507931	SRR32507932
PWY-7883	36949.56393480192	48363.483823180875	49047.72138711744	29339.877508830898	70156.3828945025	55770.985637619975	58346.737846342854	47750.79068856497	67378.04878319995	58090.18367700293	80929.05666645877	37056.11797457074	43278.27732001438	49987.90394531096	64962.61084555845	49630.78190753501	36952.656678123785	79863.6914160632	33507.41766051203	83758.40228799602	35635.89137555663	23866.988921497847	54716.299806696305	34885.85225711785	44705.54491890716	35385.18902432959	68755.07234236799
PWY-7900	4982.713968448592	7717.729757117401	18870.82114064955	11352.16548649757	5516.3407279877565	28618.02493320308	6265.436871861566	2540.9945071504685	25345.65986938233	5799.781331968915	11321.823826520707	11953.622785479145	12765.488257123721	5155.9595927891605	41262.524858691795	4523.924052020325	3806.06773269026	29120.26998392397	3952.304745321189	7670.606616518534	12113.263124512256	7627.8336613593765	6751.0827405022055	19791.46358154888	5653.172773369421	6394.595576490232	25850.264517927975
PWY-7902	2907.4568599785703	1157.7047226179072	6301.473917193485	1653.2012000557158	4103.247266253401	3005.0683836503927	2559.343679956603	1459.1547584038979	2846.80676006466	3956.5961062918173	1785.9320241789903	4553.51750411176	1815.5227690406305	1827.4325066864444	2475.997995498946	2546.1811477234432	1076.3635098888	3749.693940717845	1190.3642686643054	1616.793109862686	6360.668185080116	425.2600987156554	3833.6339380233717	2644.0374935439622	2122.39969668495	992.9584863485098	3862.2571952795392
PWY-7913	1270.3458813153056	1834.1801511987696	4826.204396424567	743.4873704592605	999.3710136684305	216.1850333024024	2067.1111551759077	1289.649222025184	2561.853146275227	1534.1304583284389	2434.1612786200762	3387.105852427564	569.4667881812654	533.9373412842498	2400.796590693165	871.1137990012923	1013.0767356015282	728.3011790903835	1547.787612839003	1947.5198269076716	2120.5662005379336	627.176553908066	527.1350745028124	664.5175634741165	673.3035529444561	1488.7438628414654	682.7077484498318
PWY-7942	7307.259504224709	12331.541048259613	11380.362011153678	5596.304981928962	15854.584553188111	8528.095663481885	11582.922256574258	8674.131922123404	9720.846917459152	9977.725431729948	19607.586872667347	10152.936689027369	7709.713207449222	11374.864395931016	8582.65102955248	9671.314411320469	6721.346884060858	11148.50749011396	7322.978088587531	21254.713769409645	7095.460085711989	4224.655895334608	11728.317151621204	5539.577052254071	8572.882531623134	6240.9310659485445	9814.759317107082
PWY-7947	3093.5252779717766	3654.8190118322505	3361.8845855614077	3028.3118918269765	7371.573473290557	1984.5716287870116	6161.8875069173	3202.184606472895	7509.061968307158	5212.379365442927	6931.877263377684	2780.842514457275	3830.2863786942653	5384.651504148795	4329.306685526976	4877.628062987301	2406.31269294844	5735.024384397555	3445.572646809334	5818.895296403566	3983.756485282197	1809.5382534328276	7076.926350149102	2080.810592220163	4498.904204971295	2864.7878162045404	5578.709972194415
PWY-7948	0.0	103.38669152583033	13.498148966315759	395.13260980959745	671.7890523121783	4381.386441178385	573.6854223802779	5.999511653176086	8.999124277366656	131.8347163883482	0.0	0.0	716.4856305646342	738.8548062186707	7630.177127947866	556.9901563439566	11.997743055310663	175.16620184567205	49.45341970909489	266.57414024286	0.0	158.5276927733127	721.4638015796604	2097.308681744733	486.8722194459393	56.94194747720782	0.0
PWY-7953	49339.125728665524	60001.83197647729	67979.23735328697	46690.483880123014	96724.55801815627	91373.88142939606	83367.9716807701	68758.62820164968	89213.4203047623	78899.77450561697	98231.04449280232	53426.16702273729	63888.52389859794	71001.00726583354	113570.02448494738	71209.14532558803	53654.24873020554	95758.37804221931	46113.036130953784	100337.95290447945	51200.32321681333	32138.846043425965	79092.94030784722	57823.441238843254	65791.03297254533	56404.02258018155	91524.1607021313
PWY-7977	57553.46524332654	71196.46701388537	77380.6012661222	55088.43124891906	114691.01096913789	107163.54310269961	102694.37367259749	81321.98143663879	101276.05563112667	89538.28388494419	117909.96346011978	62261.21892199926	74652.25492810507	85171.77613506773	130211.77423736475	87934.00977229667	62906.76766453164	108698.08969918506	53308.753249191504	119888.24037412448	60043.996231307225	37941.55797705661	93189.24389170602	65785.8952005473	81917.18107897104	65141.84037179206	105613.49467353555
PWY-7992	26069.270395826567	39909.296874436244	39242.461639514906	21653.5863856707	58272.66848779136	12509.40118398191	44727.793026046114	48412.72354681923	33148.388337701006	44867.899214609824	69862.04512266812	31141.600572137635	23999.129523860527	41657.93819485215	17568.542542680076	38399.556513685675	34710.13796550415	27218.4266332401	26552.391446343358	68188.6052923945	25811.646940089282	10603.338372584147	44650.115915584196	7854.879338225627	32950.84870677431	37785.18087192649	34094.59614603433
